Area_sqft,Bedrooms,Bathrooms,House_Age,Location_Score,Price
3674,3,1,1,1,11146086
1360,2,2,13,3,4439307
1794,1,1,15,5,5737010
1630,1,4,22,1,4949161
1595,3,4,29,4,5286760
3592,2,3,19,6,11282283
2138,1,4,12,4,6845553
2669,1,1,14,7,8314934
966,4,1,11,7,3408595
1738,4,4,8,6,5770592
830,1,2,25,9,3082685
1982,3,2,17,2,5979039
2635,5,1,20,8,8765449
3944,5,2,13,8,12783406
3671,1,3,19,4,11324582
3419,1,3,24,6,10827527
630,1,4,3,6,2354018
2185,3,4,7,5,7285302
3880,4,2,7,1,11982061
1269,1,1,21,3,4109774
2891,1,4,21,7,9292318
2015,2,3,15,8,6873085
3985,3,4,26,2,12128703
3353,1,4,23,3,10429525
2933,2,3,27,4,8995624
1715,5,1,28,5,5437532
1455,1,4,27,3,4725830
2824,1,4,9,5,9063791
1684,2,4,24,8,5529940
959,3,2,20,8,3438692
3885,1,4,26,2,11709154
521,5,3,16,6,2175963
2800,1,1,0,4,8696566
1247,5,1,17,9,4660539
3404,4,3,9,2,10442955
974,4,2,25,8,3646458
1582,5,3,20,1,4844685
3058,3,1,3,6,9707947
2547,1,3,0,1,8012927
3247,1,2,3,2,9891229
1475,4,1,3,3,4972333
2306,5,2,25,9,7828698
689,1,3,3,5,2401567
3505,1,4,16,2,10853233
3234,3,3,8,5,10207702
3505,2,2,29,5,10883588
1062,4,3,18,1,3287184
2399,4,4,12,3,7624679
1767,2,2,3,5,5912965
3379,1,3,4,9,10756601
2028,3,2,28,1,6085976
3702,3,2,12,8,11728882
1146,4,1,22,1,3666801
2568,3,1,15,9,8388629
3388,2,2,21,6,10567595
2714,1,3,4,1,8490990
1797,2,3,7,8,6253646
2935,5,3,15,5,9323409
1100,4,4,29,7,3717098
2863,3,2,0,7,9320974
2561,5,2,22,7,8236502
741,3,4,27,6,2733139
2541,1,2,5,8,8273325
3324,1,2,10,9,10814660
3917,1,4,15,2,12016654
3112,3,1,4,7,9855280
3445,5,2,15,2,10736095
1863,1,4,6,6,5997117
2639,5,3,18,2,8082979
1890,3,1,0,6,6126915
3503,5,3,8,2,11070405
1978,3,2,17,1,6097732
3999,3,1,12,7,12510825
3056,4,4,25,3,9543984
1275,3,2,14,4,4376046
534,3,4,2,6,2477108
2753,2,1,23,5,8641821
3652,1,3,27,4,11267974
2455,4,2,9,9,8038922
2085,4,2,8,6,6801696
3959,4,4,12,6,12434561
3573,2,1,15,2,10934364
1521,3,4,2,6,5156380
3961,1,1,21,7,12483982
3113,5,2,22,8,10064090
1629,3,1,14,8,5458449
2000,2,2,16,9,6768079
1202,3,1,13,3,3956928
2949,3,3,6,7,9533293
3277,2,1,19,7,10124069
2079,4,3,15,1,6665329
661,4,1,20,8,2458682
701,1,1,7,4,2596691
2481,1,4,3,5,7892303
1495,4,4,19,6,5294225
2817,5,2,23,3,8915962
1315,3,4,14,5,4663413
3842,5,1,4,5,12113304
955,3,4,12,1,3236417
1775,4,1,5,3,5595210
1516,1,3,27,3,4808335
2843,1,1,26,1,8525605
3267,5,2,29,7,10432754
837,1,3,4,1,2835117
1378,4,2,16,7,4717655
1576,5,2,6,4,5123583
1291,3,2,5,9,4676773
2764,1,4,1,7,9086024
1263,2,2,10,5,4133257
2735,1,3,6,7,8876584
879,3,1,21,9,3315462
992,5,2,20,6,3468024
3612,3,3,7,1,11245561
1680,2,2,4,6,5433722
2562,4,1,26,1,7561077
564,1,3,17,4,1872868
3068,5,3,21,8,10014152
1867,4,1,15,5,5993430
1652,3,3,13,5,5507600
2527,5,1,11,8,8436373
3195,4,3,16,8,10480482
1995,5,3,4,1,6382751
3634,2,1,13,5,11089598
1662,2,1,5,5,5343297
2022,1,3,14,8,6893268
3140,1,3,6,1,9417741
891,2,1,13,7,3077360
2198,5,4,17,7,7457432
918,2,1,0,9,3501321
2836,1,3,5,2,8732042
878,2,3,2,3,2874565
2296,2,3,4,4,7487139
2778,5,1,11,1,8604066
3565,4,3,10,7,11291656
2588,1,4,12,3,7924765
3599,5,2,15,3,11135086
2682,2,4,17,3,8362552
700,2,1,16,8,2710324
2363,4,3,16,9,7838794
1279,1,1,28,2,3705987
3477,1,2,10,1,10596131
3604,3,1,19,9,11521068
3619,1,3,9,6,11506642
1002,4,2,28,9,3811920
2954,3,2,15,6,9315675
2251,3,3,1,2,7024711
1304,2,3,16,1,3889530
2646,2,3,21,8,8558339
3231,1,1,29,3,9646236
2395,3,4,19,1,7460060
3273,2,1,9,8,10309376
2070,4,1,12,1,6577857
1460,2,4,11,8,5046128
3160,2,3,14,1,9631118
1985,3,3,6,9,6829814
3190,3,4,26,9,10180566
1528,5,4,21,9,5598269
3789,4,1,20,3,11519519
1002,3,2,25,4,3098437
3314,1,4,27,5,10119146
897,4,1,12,6,3088618
1370,4,2,11,9,4936839
3342,3,3,11,4,10295705
892,4,3,27,6,3164218
706,3,1,1,1,2392288
1538,2,1,4,2,5007056
2381,5,4,24,8,8026894
3439,2,3,24,4,10441379
1984,3,1,1,7,6509682
1363,3,3,22,4,4434785
3290,2,3,25,9,10420894
3812,1,4,29,9,12018991
1063,1,2,19,4,3289384
1520,1,4,12,8,5180512
595,3,1,28,6,2258272
2423,4,4,2,1,7879051
2257,3,4,10,7,7327283
3032,4,3,15,1,9190506
3978,2,4,0,3,12458173
2778,5,1,18,8,9028697
3296,4,2,10,9,10710035
2178,1,4,8,3,7076151
3742,3,4,13,1,11524244
1040,2,2,8,1,3235251
1559,1,1,6,7,5388584
3072,2,1,15,5,9749793
1683,5,4,2,1,5325955
2222,3,3,28,6,7151144
3814,3,4,18,6,12128732
3657,5,2,3,4,11467626
2319,3,2,6,7,7636642
3125,4,2,22,7,10092018
3229,2,4,27,9,10331751
3104,1,4,11,1,9664261
2097,5,1,29,5,6864517
3560,4,3,17,3,11001216
3193,1,4,27,7,9911959
1295,1,1,4,4,4043272
1551,5,4,22,4,5075645
2143,4,1,22,1,6348419
1863,1,1,21,1,5557411
2481,1,3,25,2,7361555
1854,4,4,9,2,5918248
2163,3,1,11,1,6611233
2029,1,2,7,8,6741512
2538,2,2,18,6,8103133
3919,4,2,14,6,12336934
1996,1,3,0,9,6755082
3802,5,1,2,5,11997236
2737,2,3,26,4,8296379
3796,1,4,17,6,11900261
1908,2,4,17,8,6494512
1900,2,1,29,1,5645113
1806,3,2,29,7,5854317
3180,2,1,1,8,10174302
3175,3,1,4,9,10248906
1472,4,1,28,8,4819327
2268,3,3,0,7,7576526
1782,5,4,9,3,6046931
3930,1,1,19,2,11817813
1209,4,1,29,3,3633977
1979,4,1,9,4,6448456
1934,5,3,4,4,6238714
1148,3,3,17,6,3900680
817,1,3,20,7,3085381
3796,3,1,25,4,11480299
1757,2,2,14,6,5888268
1183,3,2,19,9,4419196
1163,4,2,7,6,4252056
2498,1,4,16,3,7945886
3945,3,1,11,1,11858446
2131,1,2,20,5,6712862
1995,1,2,29,3,5911516
3804,2,2,29,8,11827223
1636,2,1,26,1,4830188
2353,4,2,11,2,7262521
2020,5,2,25,3,6552817
2989,1,1,0,3,9153366
1063,5,4,25,8,3924369
1791,4,3,25,5,5658888
3957,1,2,3,8,12689339
3958,1,3,7,6,12570154
3684,5,4,0,2,11614088
2136,3,4,26,4,6764051
3499,2,2,14,9,11197406
3652,3,1,17,4,11174474
1198,5,4,0,5,4308986
2660,2,3,10,5,8343345
501,3,3,22,8,2075617
1141,2,3,1,6,4041002
2767,1,3,0,7,8855117
2089,3,4,11,6,7002239
1354,2,2,15,5,4475554
2259,2,2,21,5,6925991
3796,2,3,21,3,11446519
2932,3,2,9,7,9549801
3974,4,3,17,5,12509970
2161,3,3,14,7,7111697
1653,5,1,16,2,5383193
1576,3,4,29,9,5240801
2207,2,4,9,8,7230566
3277,1,3,2,5,10310229
2195,3,4,25,2,6754435
2233,3,2,29,6,7281938
1939,2,3,20,8,6635352
2794,1,1,15,7,8836009
1335,1,2,5,8,4502421
702,5,1,2,4,2732080
3755,3,1,8,3,11657230
622,1,4,10,7,2379027
900,1,4,20,2,2667546
1266,4,3,12,5,4506583
793,4,4,17,7,3071695
2827,1,1,25,1,8474550
3431,5,1,21,4,10865353
697,1,2,27,2,2172969
3529,2,1,23,6,10988569
2430,3,3,26,1,7471317
3299,5,3,21,7,10643536
2691,2,4,3,3,8645763
1108,5,4,21,1,3744258
3772,2,4,23,8,12115215
1647,3,3,7,7,5762518
686,3,1,12,2,2250483
3897,4,4,9,7,12612512
3011,2,2,1,3,9498460
3920,4,4,7,9,12797700
2294,2,3,5,8,7556554
1159,4,4,15,5,4093059
3311,3,1,17,7,10322494
3502,5,4,16,3,11127815
2455,4,3,5,1,7542481
2950,2,3,12,1,8853401
1869,2,2,22,2,5557431
2486,3,3,13,8,8324603
2034,2,2,29,1,6219617
646,1,1,25,5,2076311
3719,5,3,20,9,12050482
3411,4,4,29,9,10898327
2234,5,1,9,2,7061754
2343,3,4,23,7,7830439
988,4,4,10,1,3338198
3476,4,4,12,3,10733149
2459,1,1,11,6,7619863
2163,3,1,8,9,7439632
3098,2,3,3,2,9594636
2885,1,4,6,7,9350696
3419,1,2,23,4,10279499
1140,5,3,28,2,3698691
2302,5,1,21,3,7268128
3020,5,2,1,6,9981362
2469,1,1,6,9,7944132
2698,2,2,28,8,8520272
